step,equity
0,15000.0
1,14975.030933657943
2,15025.77139090453
3,15072.152869076208
4,15092.995177729897
5,15049.32455716327
6,15009.209742996845
7,14997.873668341324
8,14978.306990904519
9,14872.633998733441
10,14724.279474596076
11,14757.04138141042
12,14816.525060207647
13,14742.442434906608
14,14597.856944918993
15,14546.83388207133
16,14632.41463509026
17,14549.007407237272
18,14482.748791210051
19,14426.4852662121
20,14435.19047005052
21,14895.086740312097
22,14820.611306610537
23,14893.81903982653
24,14888.985095197593
25,14884.547206411638
26,14905.368324930207
27,14983.685700362665
28,15091.340207431516
29,15022.080976149942
30,14972.527650432734
31,14979.007159638175
32,14984.92084016232
33,15033.988195295819
34,15113.3452603214
35,15119.649452291924
36,15109.103774602443
37,15033.558255729431
38,15105.808685324184
39,15030.279641897563
40,14979.063535385922
41,15092.592707083759
42,14942.044094830597
43,15178.385311519538
44,15245.045046517644
45,15304.757111536683
46,15228.233325979
47,15300.210455366692
48,15223.709403089859
49,15348.891514592471
50,15408.474236396496
51,15447.150868538043
52,15599.584892383009
53,15660.439647709623
54,15613.435629689031
55,15728.541279750913
56,15680.622665849593
57,15893.70236280158
58,15945.209525999404
59,15865.483478369408
60,15835.890278432425
61,16029.409149941168
62,15983.524886789708
63,16090.344155107743
64,16265.171718528989
65,16142.36251756302
66,16211.832928212987
67,16218.493892065937
68,16137.401422605608
69,16369.714405052482
70,16366.121996289856
71,16496.69902788395
72,16414.215532744533
73,16332.14445508081
74,16296.163083742746
75,16214.682268324032
76,16443.874357520326
77,16922.639371405785
78,16839.98839396025
79,16755.78845199045
80,17045.252592019267
81,17125.081133327134
82,17203.772719882556
83,17117.753856283143
84,16947.00426156672
85,17075.76135558161
86,17053.01268452232
87,17057.45774373457
88,17358.040676876743
89,17466.526411154537
90,17972.789614815996
91,17928.80099767288
92,17820.392979486514
93,17978.32353853145
94,18279.563044469374
95,18732.92572370719
96,18803.13408712035
97,18873.209106718412
98,18820.357895406956
99,18726.256105929922
100,18632.62482540027
101,18590.11048253637
102,18670.12803912784
103,18755.716502012896
104,18967.759122775336
105,19294.315313929976
106,19327.327319324042
107,19397.967991755082
108,19362.592926124915
109,19265.77996149429
110,19496.097473463466
111,19610.02110312548
112,19787.32585869911
113,19841.388732815765
114,19871.590778472488
115,19699.449731599412
116,19783.655950119555
117,19772.933840050326
118,20000.519498636757
119,20019.906706525922
120,19919.807172993293
121,19820.208137128328
122,19835.391836145875
123,19826.148277395085
124,19789.99978949472
125,19951.79187439885
126,19961.022198524202
127,19767.85757281606
128,19734.053933451847
129,19651.635045176616
130,19718.282686712595
131,19815.401667004724
132,19645.047844884768
133,19658.57740323739
134,19643.65078377366
135,19620.837793628853
136,20075.397924990102
137,20117.695222652754
138,20273.585546294587
139,20229.83733062056
140,20400.03079201459
141,20652.69556313093
142,20778.9686661212
143,20675.073822790593
144,20898.075674716845
145,20821.643063392552
146,20665.203390687013
147,20664.972070964384
148,20788.92333648338
149,21434.18359988612
150,21346.023227207752
151,21438.65181195275
152,21529.816859009417
153,21478.95212857818
154,21488.569737705442
155,21698.446836011797
156,21839.225481882866
157,21874.479058977617
158,21879.589504098534
159,21801.410680338584
160,21999.801353306713
161,21953.16971197965
162,21918.148657252063
163,21894.4657202022
164,21804.64539178023
165,21695.62216482133
166,21622.05040030745
167,21513.940148305912
168,21738.180173006676
169,22151.57089496374
170,22162.17854199009
171,22189.86274460539
172,22384.964566553266
173,22473.724819267187
174,22641.273306325278
175,22432.71928674777
176,22320.55569031403
177,22208.95291186246
178,22145.05538112542
179,22324.852315423836
180,22457.825758709034
181,22381.80926548237
182,22786.14658917139
183,22868.300326140088
184,22837.58625539265
185,22609.781332495106
186,22384.24876370347
187,22541.275835073415
188,22428.569455898047
189,22437.645971587746
190,22422.643828416803
191,22458.110136909323
